device_id,split,state_label,fault_onset_idx,fault_onset_time,anomaly_start_idx,anomaly_start_time,fault_cell,capacity_ah_mean
BAT_0001,train,normal,-1,,-1,,,16.904915549038982
BAT_0002,train,normal,-1,,-1,,,17.125318006972826
BAT_0003,train,normal,-1,,-1,,,16.89362052838221
BAT_0004,train,normal,-1,,-1,,,17.041956714180138
BAT_0005,train,normal,-1,,-1,,,16.92636574745655
BAT_0006,train,normal,-1,,-1,,,16.810280465684663
BAT_0007,train,normal,-1,,-1,,,17.199754771878982
BAT_0008,train,normal,-1,,-1,,,16.80778488730298
BAT_0009,train,normal,-1,,-1,,,16.936417078319753
BAT_0010,train,normal,-1,,-1,,,16.9961944587985
BAT_0011,train,normal,-1,,-1,,,16.898868666787465
BAT_0012,train,normal,-1,,-1,,,16.910794423225394
BAT_0013,train,normal,-1,,-1,,,16.981043625513855
BAT_0014,train,normal,-1,,-1,,,17.037303240503526
BAT_0015,train,normal,-1,,-1,,,17.103963531929708
BAT_0016,train,normal,-1,,-1,,,16.850005871115428
BAT_0017,train,normal,-1,,-1,,,17.1380348400385
BAT_0018,train,normal,-1,,-1,,,16.910031843886856
BAT_0019,train,normal,-1,,-1,,,17.080632534865522
BAT_0020,train,normal,-1,,-1,,,17.090064332230394
BAT_0021,train,normal,-1,,-1,,,16.842865021637806
BAT_0022,train,normal,-1,,-1,,,16.982562296385936
BAT_0023,train,normal,-1,,-1,,,17.00024685607372
BAT_0024,train,normal,-1,,-1,,,17.169025831318653
BAT_0025,train,normal,-1,,-1,,,17.131394651797308
BAT_0026,train,normal,-1,,-1,,,17.046168402779617
BAT_0027,train,normal,-1,,-1,,,16.96552145014329
BAT_0028,train,normal,-1,,-1,,,16.68873594585424
BAT_0029,train,normal,-1,,-1,,,16.878268226670954
BAT_0030,train,normal,-1,,-1,,,17.050397629265433
BAT_0031,train,normal,-1,,-1,,,16.968478433005288
BAT_0032,train,normal,-1,,-1,,,16.943342975892158
BAT_0033,train,normal,-1,,-1,,,17.170889929726656
BAT_0034,train,normal,-1,,-1,,,16.87717956929453
BAT_0035,train,normal,-1,,-1,,,17.007476164359023
BAT_0036,train,normal,-1,,-1,,,17.137621951335625
BAT_0037,train,normal,-1,,-1,,,16.833122650401364
BAT_0038,train,normal,-1,,-1,,,16.897905266772536
BAT_0039,train,normal,-1,,-1,,,17.023494598213965
BAT_0040,train,normal,-1,,-1,,,17.01547845272959
BAT_0041,valid,normal,-1,,-1,,,16.92610030913124
BAT_0042,valid,voltage_sag,370,2026-01-02 06:50:00,409,2026-01-02 10:05:00,cell_3,16.817454737095503
BAT_0043,valid,normal,-1,,-1,,,16.79968706628719
BAT_0044,valid,soc_sensor_drift,526,2026-01-02 19:50:00,542,2026-01-02 21:10:00,cell_8,17.14263562046012
BAT_0045,valid,resistance_growth,523,2026-01-02 19:35:00,546,2026-01-02 21:30:00,cell_2,16.998525555685326
BAT_0046,valid,soc_sensor_drift,436,2026-01-02 12:20:00,457,2026-01-02 14:05:00,cell_8,17.17556509300197
BAT_0047,valid,resistance_growth,438,2026-01-02 12:30:00,467,2026-01-02 14:55:00,cell_5,17.166151220279275
BAT_0048,valid,thermal_rise,278,2026-01-01 23:10:00,295,2026-01-02 00:35:00,cell_6,16.844949046488086
BAT_0049,valid,cell_imbalance,395,2026-01-02 08:55:00,432,2026-01-02 12:00:00,cell_2,16.969887453655865
BAT_0050,valid,cell_imbalance,532,2026-01-02 20:20:00,558,2026-01-02 22:30:00,cell_5,16.905911622136507
BAT_0051,valid,voltage_sag,300,2026-01-02 01:00:00,345,2026-01-02 04:45:00,cell_4,17.048980768677108
BAT_0052,valid,thermal_rise,416,2026-01-02 10:40:00,429,2026-01-02 11:45:00,cell_8,17.08881667756023
BAT_0053,test,voltage_sag,396,2026-01-02 09:00:00,433,2026-01-02 12:05:00,cell_3,16.977721476908975
BAT_0054,test,soc_sensor_drift,515,2026-01-02 18:55:00,532,2026-01-02 20:20:00,cell_6,16.846474636538794
BAT_0055,test,cell_imbalance,399,2026-01-02 09:15:00,436,2026-01-02 12:20:00,cell_7,17.076479137711388
BAT_0056,test,thermal_rise,416,2026-01-02 10:40:00,429,2026-01-02 11:45:00,cell_4,16.988332062022387
BAT_0057,test,voltage_sag,312,2026-01-02 02:00:00,356,2026-01-02 05:40:00,cell_5,16.97993428034228
BAT_0058,test,resistance_growth,504,2026-01-02 18:00:00,529,2026-01-02 20:05:00,cell_4,16.914393853736772
BAT_0059,test,thermal_rise,445,2026-01-02 13:05:00,457,2026-01-02 14:05:00,cell_4,16.90654098246877
BAT_0060,test,voltage_sag,297,2026-01-02 00:45:00,342,2026-01-02 04:30:00,cell_5,17.242609968653735
BAT_0061,test,cell_imbalance,313,2026-01-02 02:05:00,357,2026-01-02 05:45:00,cell_4,17.071689505487853
BAT_0062,test,normal,-1,,-1,,,17.00043066556795
BAT_0063,test,resistance_growth,358,2026-01-02 05:50:00,393,2026-01-02 08:45:00,cell_1,17.031907287527204
BAT_0064,test,soc_sensor_drift,364,2026-01-02 06:20:00,389,2026-01-02 08:25:00,cell_2,17.083256808923572
BAT_0065,test,normal,-1,,-1,,,16.987010505843354
BAT_0066,test,thermal_rise,462,2026-01-02 14:30:00,474,2026-01-02 15:30:00,cell_7,17.16913106411656
BAT_0067,test,soc_sensor_drift,455,2026-01-02 13:55:00,475,2026-01-02 15:35:00,cell_7,16.907989101109976
BAT_0068,test,normal,-1,,-1,,,16.90217032286231
