split,state_label,windows,positive_windows,detected_windows,detection_rate,recall_if_abnormal,mean_score,p95_score
valid,normal,1664,0,29,0.017427884615384616,0.0,0.5878134965896606,1.4037227988243093
valid,voltage_sag,1664,974,139,0.08353365384615384,0.12833675564681724,0.9239795207977295,1.929811960458755
valid,soc_sensor_drift,1664,729,28,0.016826923076923076,0.02194787379972565,0.7230768799781799,1.4505269289016722
valid,resistance_growth,1664,715,347,0.20853365384615385,0.47692307692307695,1.3714659214019775,5.50270442962646
valid,thermal_rise,1664,1004,841,0.5054086538461539,0.8177290836653387,5.583583354949951,22.714770889282224
valid,cell_imbalance,1664,738,273,0.1640625,0.35501355013550134,1.2004252672195435,5.163650703430172
test,voltage_sag,2496,1461,244,0.09775641025641026,0.15331964407939766,0.8456121683120728,2.3228562474250793
test,soc_sensor_drift,2496,1196,45,0.018028846153846152,0.024247491638795988,0.7805637717247009,1.5302774608135223
test,cell_imbalance,1664,935,221,0.1328125,0.22459893048128343,0.9315750598907471,2.9508961439132673
test,thermal_rise,2496,1232,1189,0.47636217948717946,0.935064935064935,6.146307945251465,22.59431028366089
test,resistance_growth,1664,806,548,0.3293269230769231,0.6625310173697271,2.3058691024780273,8.880135059356688
test,normal,2496,0,44,0.017628205128205128,0.0,0.6027889847755432,1.4010143280029297
