device_id,a,b,c,is_abnormal,iforest_score,autoencoder_score,ensemble_score,iforest_pred,autoencoder_pred,ensemble_pred
dev_1931639,a2,b4,c1,1,0.7486134856012736,4.1578503,1.0,1,1,1
dev_1546823,a3,b2,c1,1,0.735564018283041,91.576035,1.0,1,1,1
dev_1089693,a4,b5,c2,1,0.7371857096045764,6.5320706,1.0,1,1,1
dev_0058933,a1,b4,c2,1,0.6983598949021756,2.5372872,1.0,1,1,1
dev_1932205,a2,b3,c2,1,0.742870170073533,3.0908103,1.0,1,1,1
dev_1014102,a3,b1,c3,1,0.7493510954428482,35.424862,1.0,1,1,1
dev_0615751,a4,b3,c2,1,0.7484455567223992,2.9404333,1.0,1,1,1
dev_0070954,a1,b2,c3,1,0.7379409612164924,3.9651158,1.0,1,1,1
dev_1011340,a4,b5,c3,1,0.741990926225287,1.7562689,1.0,1,1,1
dev_1959052,a4,b1,c3,1,0.7452359187367258,21.627525,1.0,1,1,1
dev_0321767,a1,b1,c1,1,0.7400788198001355,3.0676253,1.0,1,1,1
dev_1101793,a2,b1,c1,1,0.7361081373250448,4.319957,1.0,1,1,1
dev_0698670,a4,b2,c1,1,0.7415412261186486,5.3573747,1.0,1,1,1
dev_1069529,a1,b3,c1,1,0.7487421458286053,4.32259,1.0,1,1,1
dev_1933662,a2,b4,c2,1,0.745115937901926,46.33564,1.0,1,1,1
dev_1190588,a3,b3,c2,1,0.7395127685150013,25.454401,1.0,1,1,1
dev_0140743,a3,b1,c1,1,0.7512591015326783,23.272482,1.0,1,1,1
dev_0204503,a2,b1,c3,1,0.7292485564513397,3.5729778,1.0,1,1,1
dev_1106516,a2,b3,c3,1,0.7117179543195221,2.2143805,1.0,1,1,1
dev_1626737,a4,b4,c3,1,0.7576610552705333,2.8925912,1.0,1,1,1
dev_1814424,a1,b3,c3,1,0.6921277859852386,4.145107,1.0,1,1,1
dev_0479219,a4,b1,c1,1,0.7459045187366743,1.8992928,1.0,1,1,1
dev_1143722,a3,b5,c3,1,0.7255395023587373,347.1965,1.0,1,1,1
dev_1449002,a2,b5,c2,1,0.7465713118659364,3.8359375,1.0,1,1,1
dev_1514980,a3,b3,c3,1,0.7516604813335424,19.970596,1.0,1,1,1
dev_0833129,a1,b1,c2,1,0.7216471291113443,3.4102252,1.0,1,1,1
dev_0442192,a4,b4,c2,1,0.7449228907547026,20.554571,1.0,1,1,1
